front,back
les premiers flocons de neige,the first snowflakes
un bonhomme de neige,a snowman
un patin,gi?y tru?t
Blanche-Neige,nàng b?ch tuy?t
le cendrillon,cô bé l? lem
la belle et la béte,ngu?i d?p và quái v?t
le flocon de neige,bông tuy?t
un noeud,cái no
um gant,gang tay
prévoyer(v),có d? d?nh
un ange,thiên th?n
un cheminée,?ng khói
un cloche,cái chuông
un étoile,ngôi sao
