front,back
La France,français
I'Italie,Italien/Italienne
le Portugal,Portugais
l'allemagne,allemande
Danemark,danois/danoise
l'espagne,espagnol/espagnole
Japon,Japonais
Canada,Canadien
Russie,russe
Chine,Chinois/chinoise
maroc,marocain/marocaine
Mexique,mexicain/mexicaine
la Angleterre,anglais/anglaise
l' amérique,américain
argentine,argentine
Grèce,grec/grecque
hollande,hollandais/hollandaise
Belgique(Belgium),belge
Suisse(Switzerland),suisse
Suède(Sweden),suédois
