front,back
"cet ""élève"" ""a du mal à"" ne plus ""grignoter"" entre les repas","this ""student"" ""has a hard time"" not to ""nibble"" between meals"
"Je ne vous ai pas encore ""autorise"" a sortir de table","I have not ""allowe""d you to leave the table yet"
j'(ai appris à) comprendre l'exercice,I learned to understand the exercise
devoirs,homework
Les activite´s quotidiennes,daily activities
Les loisirs,The hobbies
billet,ticket
rendre un livre à la bibliothèque,return a book to the library
