front,back
parler,![image](https://d9np3dj86nsu2.cloudfront.net/image/87c9b8dfa59727dce7f8761bbd1ff8eb)
manger,![image](https://d9np3dj86nsu2.cloudfront.net/image/a82c7f4b16605efcc01b5648677c2d0b)
étudier,![image](https://d9np3dj86nsu2.cloudfront.net/image/790e40bb10eaded0b632487794081b0f)
balader,![image](https://d9np3dj86nsu2.cloudfront.net/image/ace2e57c352f2174db904a7805f7ccff)
