front,back
sock,la chaussette
shorts,le short
cap,bonnet
trousers,le pantalon
cap,la casquette
jacket,le blouson
giày bóng r?,des baskets
gi?y tennis,des tennis 
shirt,la chemise
glasses,les lunettes
coat,le manteau
anh ?y m?c gì ?,il porte quoi ?
What do you advice me?,vous me conseillez quoi ?
a fresh scent,un parfum frais
"Summer Utopie is really ""exceptional""","Utopie estivale est vraiment ""exceptionnel"" "
"Do you want to ""smell"" it ?","voulez-vous le ""sentir"" ?"
It smells good!,ça sent bon!
How much is it ?,Combien est-ce que ça coute ?
"Maxime ""hesitates"" then ""smiles""","Maxime ""hésite"" puis ""sourit"""
It's expensive but I buy it,C'est cher mais je l'achète
Love have no price,l'amour n'a pas de prix
What do you want?,que désirez vous ?
these are designed bags,ce sont des sacs de créateurs
are they expensive?,est-ce qu'ils sont chers?
synthetic(s?i t?ng h?p),synthétique(adj)
"I want ""natural leather""","je veux ""en cuir nature"""
is there a reduction?,y a-t-il un réduction?
wallet,portefeuille
trousers,le pantalon
irritated(b? kích thích),irrité(adj)
they are luxury bags,ce sont des sacs de luxe
they cost at least 200 euros,"ils coûtent ""au mois"" 200 euros"
item,article(Désirez-vous un article plus petit?)
I take the black leather wallet,Je prends le portefeuille en cuir noire
value,valuer
full,plein
recent,récent
noisy,bruyant
star,étoile
bold,chauve 
Có nhi?u ph?m ch?t t?t,avoir beaucoup de qualités
th?y ai dó có tính ch?t gì dó,trouver + adj(Il a trouve très intéressante)
to learn,apprendre
swimming pool,la piscine
then,puis
to place,placer
behind,derrière
in front of you,en face de vous
to stop,se arrêter
kh?e m?nh,être en form
enough,assez
"too much, too",trop
early,tôt
get thinner,maigrir
difficult,difficile
do something !,Fais quelque chose!
to run,courir
to swim,nager
always,toujours
hungry,avoir faim(j'ai toujours faim)
of course,bien sûr
pastry shop(or cake),la pâtisserie
night club,discothèque
bed,le lit
go to bed,aller au lit
finally,finalement
big(fat),être gros/grosse
the alcohol,l'alcool
sometimes,quelquefois
"building, block of flats",l'immeuble
"starter, appetizer",l'entrée
pretty,joli
chuy?n nhà,je voudrais déménager
c?n ph?i làm gì(Il faut manger trois fois par jour) ,il faut + vinf
expensive,cher
exellent,exellent
comfortable,confortable
cách dó bao nhiêu km/phút(mon l'université est à 20 minutes de chez moi),être à + km/phut + de + location
terrible,terrible
bàn d? dèn ng?,table de nuit
bring something to someone,apporter qch à quelqu'un
tru?c khi làm gì dó,avant de + vinf
negation(s? ph? nh?n),la négation
clubbing,aller en boite
brand,la marque
cigarette,la cigarette
how much/many/long(combien de temps?),combien de
police,le policier
thief,le voleur
