front,back
Aller + à la + nom féminin avec consonne,Je vais à la maison
"Aller + à l' + nom féminin ou masculin avec voyelle ou ""h""",Tu vas à l'école
au(à le) + nom masculin avec consonne,Ils vont au supermarché
aux(à les) + nom pluriel,Nous allons aux Etats-Unis
"Quand on mentionne une personne, on utilise toujours 'Chez'",Elle va chez sa grand-mère/chez le médicine/chez toi
