front,back
Jadiner,garden(làm vu?n)
courir,jogging
promener mon chien,walk my dog
nager,swim
chanter,sing
pêcher = aller à la pêche,go fishing
peindre,paint
tricoter,"knit(dan áo,qu?n ..)"
lire,reading
ecouter de la musique,listen to music
skier,ski
danser,dance
regarder la télévision,watch TV
aller au cinéma,go to the cinema
