front,back
à + ville,Ex : Je suis à Paris
en + pays qui se termine en -e ou qui commence par en voyelle,Ex : Je suis en Angola
au +pays qui se termine par une consonne ou qui se termine par une autre voyell -e,Ex : J'habite au Canada
aux + pays au pruriel,Ex : Je suis aux Etats-Unis
