front,back
on = 2 valeurs,"Marie et moi, on est contentes"
on = valeur générale,"En France, on aime faire les soldes"
"on dans ""ç'est un on impersonnel""",it's an impersonal one
"on pour oral et informal, nous pour formal.","on cho van nói, nous cho van vi?t"
il faut = On doit,"n?u nói v? ""chúng ta"" m?t cách chung, bao quát. Il faut manger pour vivre = On doit manger"
