front,back
ça fait plaisir de te voir,It's a pleasure to see you
pas mal,not bad
tu vas au travail ?,you are going to work ?
"au fait, vous vous connaissez ? Oui, nous nous connaissons bien.","by the way, do you know each other?Yes, we know each other well."
"alors, voici Le´o","so, here is Le´o"
"mon bus arrive, je vous laisse","my bus arrive, I leave you(I have to go)"
dis bonjour a` Renaud de ma part,Say hello to Renaud on my behalf
le voisine,neighbor
