front,back
choisir,![image](https://d9np3dj86nsu2.cloudfront.net/image/6d8e2e64bede95e4691bd9cfb94a0e75)
grandir,![image](https://d9np3dj86nsu2.cloudfront.net/image/c70b8e6e4bcca5b78af9084a380eabbe)
réfléchir(reflect),![image](https://d9np3dj86nsu2.cloudfront.net/image/a5e33d74ac269fca83cf7684c868ee55)
